dept,grade,annual_salary,hourly_rate,grade_label
Education Scotland,seoheo,37760,23.09,SEO/HEO
Education Scotland,eo,28340,17.33,EO
Education Scotland,aoaa,21480,13.13,AO/AA
Education Scotland,total,62190,38.03,Unknown
Food Standards Scotland,scs,NA,NA,SCS
Food Standards Scotland,g6g7,59230,36.22,Grade 6/Grade 7
Food Standards Scotland,seoheo,34090,20.85,SEO/HEO
Food Standards Scotland,eo,28340,17.33,EO
Food Standards Scotland,aoaa,21480,13.13,AO/AA
Food Standards Scotland,total,30000,18.34,Unknown
Forestry and Land Scotland7,scs,NA,NA,SCS
Forestry and Land Scotland7,g6g7,53310,32.6,Grade 6/Grade 7
Forestry and Land Scotland7,seoheo,37330,22.83,SEO/HEO
Forestry and Land Scotland7,eo,29280,17.9,EO
Forestry and Land Scotland7,aoaa,24390,14.91,AO/AA
Forestry and Land Scotland7,total,28290,17.3,Unknown
National Records of Scotland,scs,NA,NA,SCS
National Records of Scotland,g6g7,59230,36.22,Grade 6/Grade 7
National Records of Scotland,seoheo,37420,22.88,SEO/HEO
National Records of Scotland,eo,27350,16.72,EO
National Records of Scotland,aoaa,21480,13.13,AO/AA
National Records of Scotland,total,29760,18.2,Unknown
Office of the Scottish Charity Regulator,scs,NA,NA,SCS
Office of the Scottish Charity Regulator,g6g7,59230,36.22,Grade 6/Grade 7
Office of the Scottish Charity Regulator,seoheo,38510,23.55,SEO/HEO
Office of the Scottish Charity Regulator,eo,26860,16.42,EO
Office of the Scottish Charity Regulator,aoaa,22560,13.79,AO/AA
Office of the Scottish Charity Regulator,total,31920,19.52,Unknown
Registers of Scotland,scs,79000,48.31,SCS
Registers of Scotland,g6g7,58870,36,Grade 6/Grade 7
Registers of Scotland,seoheo,35710,21.84,SEO/HEO
Registers of Scotland,eo,29210,17.86,EO
Registers of Scotland,aoaa,23380,14.3,AO/AA
Registers of Scotland,total,29210,17.86,Unknown
Revenue Scotland,scs,NA,NA,SCS
Revenue Scotland,g6g7,59230,36.22,Grade 6/Grade 7
Revenue Scotland,seoheo,34640,21.18,SEO/HEO
Revenue Scotland,eo,27350,16.72,EO
Revenue Scotland,aoaa,23360,14.28,AO/AA
Revenue Scotland,total,34090,20.85,Unknown
Scottish Courts and Tribunals Service,scs,80810,49.41,SCS
Scottish Courts and Tribunals Service,g6g7,58470,35.75,Grade 6/Grade 7
Scottish Courts and Tribunals Service,seoheo,34210,20.92,SEO/HEO
Scottish Courts and Tribunals Service,eo,28490,17.42,EO
Scottish Courts and Tribunals Service,aoaa,22070,13.5,AO/AA
Scottish Courts and Tribunals Service,total,22070,13.5,Unknown
Scottish Fiscal Commission,scs,NA,NA,SCS
Scottish Fiscal Commission,g6g7,59230,36.22,Grade 6/Grade 7
Scottish Fiscal Commission,seoheo,31920,19.52,SEO/HEO
Scottish Fiscal Commission,eo,NA,NA,EO
Scottish Fiscal Commission,aoaa,NA,NA,AO/AA
Scottish Fiscal Commission,total,45240,27.66,Unknown
Scottish Forestry8,scs,NA,NA,SCS
Scottish Forestry8,g6g7,56900,34.79,Grade 6/Grade 7
Scottish Forestry8,seoheo,37330,22.83,SEO/HEO
Scottish Forestry8,eo,28290,17.3,EO
Scottish Forestry8,aoaa,22170,13.56,AO/AA
Scottish Forestry8,total,33150,20.27,Unknown
Scottish Housing Regulator,scs,NA,NA,SCS
Scottish Housing Regulator,g6g7,59230,36.22,Grade 6/Grade 7
Scottish Housing Regulator,seoheo,45240,27.66,SEO/HEO
Scottish Housing Regulator,eo,NA,NA,EO
Scottish Housing Regulator,aoaa,NA,NA,AO/AA
Scottish Housing Regulator,total,48370,29.58,Unknown
Scottish Prison Service,scs,NA,NA,SCS
Scottish Prison Service,g6g7,53430,32.67,Grade 6/Grade 7
Scottish Prison Service,seoheo,38350,23.45,SEO/HEO
Scottish Prison Service,eo,32360,19.79,EO
Scottish Prison Service,aoaa,24870,15.21,AO/AA
Scottish Prison Service,total,32360,19.79,Unknown
Scottish Public Pensions Agency,scs,NA,NA,SCS
Scottish Public Pensions Agency,g6g7,59230,36.22,Grade 6/Grade 7
Scottish Public Pensions Agency,seoheo,34090,20.85,SEO/HEO
Scottish Public Pensions Agency,eo,28340,17.33,EO
Scottish Public Pensions Agency,aoaa,22560,13.79,AO/AA
Scottish Public Pensions Agency,total,22560,13.79,Unknown
Social Security Scotland,scs,NA,NA,SCS
Social Security Scotland,g6g7,54490,33.32,Grade 6/Grade 7
Social Security Scotland,seoheo,31200,19.08,SEO/HEO
Social Security Scotland,eo,25370,15.51,EO
Social Security Scotland,aoaa,20400,12.47,AO/AA
Social Security Scotland,total,25370,15.51,Unknown
Student Awards Agency for Scotland,scs,NA,NA,SCS
Student Awards Agency for Scotland,g6g7,58490,35.76,Grade 6/Grade 7
Student Awards Agency for Scotland,seoheo,38090,23.29,SEO/HEO
Student Awards Agency for Scotland,eo,28340,17.33,EO
Student Awards Agency for Scotland,aoaa,21480,13.13,AO/AA
Student Awards Agency for Scotland,total,24160,14.77,Unknown
Transport Scotland,scs,76520,46.79,SCS
Transport Scotland,g6g7,60490,36.99,Grade 6/Grade 7
Transport Scotland,seoheo,37420,22.88,SEO/HEO
Transport Scotland,eo,27350,16.72,EO
Transport Scotland,aoaa,21480,13.13,AO/AA
Transport Scotland,total,38510,23.55,Unknown
Department for Transport (excl. agencies),scs,81210,49.66,SCS
Department for Transport (excl. agencies),g6g7,56130,34.32,Grade 6/Grade 7
Department for Transport (excl. agencies),seoheo,37250,22.78,SEO/HEO
Department for Transport (excl. agencies),eo,29640,18.12,EO
Department for Transport (excl. agencies),aoaa,25230,15.43,AO/AA
Department for Transport (excl. agencies),total,43120,26.37,Unknown
Driver and Vehicle Licensing Agency,scs,86500,52.89,SCS
Driver and Vehicle Licensing Agency,g6g7,57870,35.39,Grade 6/Grade 7
Driver and Vehicle Licensing Agency,seoheo,32690,19.99,SEO/HEO
Driver and Vehicle Licensing Agency,eo,26130,15.98,EO
Driver and Vehicle Licensing Agency,aoaa,21170,12.94,AO/AA
Driver and Vehicle Licensing Agency,total,21170,12.94,Unknown
Driver and Vehicle Standards Agency,scs,92410,56.51,SCS
Driver and Vehicle Standards Agency,g6g7,51700,31.61,Grade 6/Grade 7
Driver and Vehicle Standards Agency,seoheo,32690,19.99,SEO/HEO
Driver and Vehicle Standards Agency,eo,26380,16.13,EO
Driver and Vehicle Standards Agency,aoaa,21170,12.94,AO/AA
Driver and Vehicle Standards Agency,total,26380,16.13,Unknown
Maritime and Coastguard Agency,scs,88420,54.07,SCS
Maritime and Coastguard Agency,g6g7,54240,33.17,Grade 6/Grade 7
Maritime and Coastguard Agency,seoheo,37800,23.11,SEO/HEO
Maritime and Coastguard Agency,eo,26030,15.92,EO
Maritime and Coastguard Agency,aoaa,21170,12.94,AO/AA
Maritime and Coastguard Agency,total,30130,18.42,Unknown
Vehicle Certification Agency,scs,NA,NA,SCS
Vehicle Certification Agency,g6g7,60830,37.2,Grade 6/Grade 7
Vehicle Certification Agency,seoheo,36000,22.01,SEO/HEO
Vehicle Certification Agency,eo,26690,16.32,EO
Vehicle Certification Agency,aoaa,21170,12.94,AO/AA
Vehicle Certification Agency,total,33940,20.75,Unknown
United Kingdom Statistics Authority,scs,76640,46.86,SCS
United Kingdom Statistics Authority,g6g7,50090,30.63,Grade 6/Grade 7
United Kingdom Statistics Authority,seoheo,32540,19.9,SEO/HEO
United Kingdom Statistics Authority,eo,23520,14.38,EO
United Kingdom Statistics Authority,aoaa,19520,11.94,AO/AA
United Kingdom Statistics Authority,total,29540,18.06,Unknown
UK Export Finance,scs,105280,64.38,SCS
UK Export Finance,g6g7,68970,42.17,Grade 6/Grade 7
UK Export Finance,seoheo,40890,25,SEO/HEO
UK Export Finance,eo,28500,17.43,EO
UK Export Finance,aoaa,24990,15.28,AO/AA
UK Export Finance,total,47450,29.01,Unknown
UK Supreme Court,scs,NA,NA,SCS
UK Supreme Court,g6g7,56360,34.46,Grade 6/Grade 7
UK Supreme Court,seoheo,36500,22.32,SEO/HEO
UK Supreme Court,eo,27360,16.73,EO
UK Supreme Court,aoaa,NA,NA,AO/AA
UK Supreme Court,total,34470,21.08,Unknown
Wales Office,scs,73170,44.74,SCS
Wales Office,g6g7,57440,35.12,Grade 6/Grade 7
Wales Office,seoheo,30850,18.86,SEO/HEO
Wales Office,eo,NA,NA,EO
Wales Office,aoaa,NA,NA,AO/AA
Wales Office,total,40880,25,Unknown
Water Services Regulation Authority,scs,122700,75.03,SCS
Water Services Regulation Authority,g6g7,77320,47.28,Grade 6/Grade 7
Water Services Regulation Authority,seoheo,42980,26.28,SEO/HEO
Water Services Regulation Authority,eo,28000,17.12,EO
Water Services Regulation Authority,aoaa,19000,11.62,AO/AA
Water Services Regulation Authority,total,47000,28.74,Unknown
Welsh Government,scs,80200,49.04,SCS
Welsh Government,g6g7,59350,36.29,Grade 6/Grade 7
Welsh Government,seoheo,36500,22.32,SEO/HEO
Welsh Government,eo,28150,17.21,EO
Welsh Government,aoaa,23250,14.22,AO/AA
Welsh Government,total,36500,22.32,Unknown
Welsh Revenue Authority,scs,NA,NA,SCS
Welsh Revenue Authority,g6g7,57990,35.46,Grade 6/Grade 7
Welsh Revenue Authority,seoheo,40550,24.8,SEO/HEO
Welsh Revenue Authority,eo,25030,15.31,EO
Welsh Revenue Authority,aoaa,20810,12.72,AO/AA
Welsh Revenue Authority,total,40550,24.8,Unknown
Department for Work and Pensions,scs,79410,48.56,SCS
Department for Work and Pensions,g6g7,52750,32.26,Grade 6/Grade 7
Department for Work and Pensions,seoheo,33450,20.45,SEO/HEO
Department for Work and Pensions,eo,26890,16.44,EO
Department for Work and Pensions,aoaa,20500,12.54,AO/AA
Department for Work and Pensions,total,26890,16.44,Unknown
Health and Safety Executive,scs,82830,50.65,SCS
Health and Safety Executive,g6g7,57680,35.27,Grade 6/Grade 7
Health and Safety Executive,seoheo,42640,26.07,SEO/HEO
Health and Safety Executive,eo,28250,17.27,EO
Health and Safety Executive,aoaa,21640,13.23,AO/AA
Health and Safety Executive,total,39090,23.9,Unknown
All employees,scs,81440,49.8,SCS
All employees,g6g7,56020,34.25,Grade 6/Grade 7
All employees,seoheo,35110,21.47,SEO/HEO
All employees,eo,26890,16.44,EO
All employees,aoaa,20500,12.54,AO/AA
All employees,total,28180,17.23,Unknown
